,data_name,log,lat
0,MULAPADU,80.47124,16.61003
1,BENZ CIRCLE OPP EENADU NEAR MARG KRISHNAIAH HOTEL,80.653995024345,16.497854996239
2,CHITTINAGAR-VJA,80.61513,16.53542
3,NUNNA VIJAYAWADA,80.624949969642,16.538599993353
4,RAMAVARAPUPADU RING-VJA,80.662236004844,16.505967775043
5,GUNTUPALLI CITY BUS STOP,77.94517,13.86251
6,AUTONAGAR BUS STATION- VJA,80.67092,16.49056
7,PRODDUTUR X ROAD-VJA,80.63975,16.50256
8,BENZ CIRCLE--VJA-BESIDE ANJANEYA SWAMY TEMPLE,80.653995024345,16.497854996239
9,BENZ CIRCLE -VIJAYAWADA1,80.653995024345,16.497854996239
10,GOLLAPUDI-VJA,80.5839,16.5433
11,TADIGADAPA-VJA,80.698420033184,16.476969996689
12,BENZCIRCLE ELR BUS STOP,80.653995024345,16.497854996239
13,KAMAYYATHOPU CENTRE,80.685561072669,16.484876449812
14,VIJAYAWADA,80.63975,16.50256
15,GUNTUPALLE,80.54365,16.56854
16,GOLLAPUDI ONE CENTRE,80.57802,16.54215
17,SIDDHARTHA ENGG COLLEGE GROUNDS VIJAYAWADA,80.624949969642,16.538599993353
18,GOVT.PRESS-VJA,80.638937370105,16.527166388482
19,VIJAYAWADA RAILWAY STATION,80.62109,16.51912
20,EDUPUGALLLU X ROAD-VJA,80.79004,16.45409
21,RAILWAY STATION EAST-VJA,80.62063,16.51971
22,VJA-AIRPORT GATE-GANNAVARAM,80.79685,16.53043
23,GAJUWAKA,83.21667,17.7
24,MALKAPURAM-VSP,83.24367,17.68525
25,MADDILAPALEM CITY BUSSTOP,83.31826,17.73723
26,VSP MADDILAPALEM CITY BUS STATION,83.31826,17.73723
27,MADHURAWADA CAR SHED VSP,83.36391,17.82254
28,MADDILAPALEM,83.31826,17.73723
29,BIRLA JUNCTION-VSP,83.260125025762,17.743454988926
30,SCINDIA,83.26918,17.69106
31,LANKALAPALEM,83.11956,17.68835
32,AKKAYYAPALEM,83.29713,17.73421
33,SHEELANAGAR-VSP,83.19642,17.71927
34,VISAKHAPATNAM,83.20161,17.68009
35,PURNAMARKET-VSP,83.29798,17.70693
36,ANANDAPURAM-VSP,82.82945,17.64292
37,SHEELA NAGAR,83.19642,17.71927
38,MADHURAWADA-VSP,83.36391,17.82254
39,KURMANNAPALEM-VSP,83.1647,17.69165
40,MVP RYTHU BAJAR,83.33458,17.74138
41,GURUDWARA,83.307679962976,17.736860002734
42,SRI NAGAR VSP,83.18885,17.67813
43,RAILWAY STATION-VSP,83.254543502033,17.736343244651
44,YENDADA,83.3582,17.78221
45,MARIKA VALASA,83.35866,17.83849
46,MADHURAWADA,83.36391,17.82254
47,CAR SHAED MADHURAVADA,83.34362,17.80817
48,MADDILAPALEM CITY BUS STOP,83.31826,17.73723
